ID productor,ID parcela,ID bitácora,Tipo de parcela,Estado,Año,Ciclo,Régimen hídrico,ID_Cultivo,Tipo de superficie,ID Actividad,Fecha_en_que_se_realizó_la_actividad,Época de aplicación,Actividad realizada,¿Realizó esta aplicación al cultivo1?,¿Realizó esta aplicación al cultivo2?,¿Realizó esta aplicación al cultivo3?,¿La semilla ya la compró tratada?,¿Utilizó alguna herramienta para ajustar su dosis de fertilizante?,¿Aplicó el fertilizante al momento de sembrar?,¿Aplicó el fertilizante en momentos adecuados? (con uso de las curvas de demanda de los cultivos):,Número de plagas que quiere controlar,Motivo de aplicación,Tipo de plaga (1),Tipo de plaga (2),Tipo de plaga (3),¿Cómo detecto la plaga?,¿Hizo uso de biodiversidad funcional en esta aplicación?,Actividad realizada como  uso de biodiversidad funcional,Motivo de aplicación,Enfermedad presentada,Parte de la planta dañada ,Porcentaje de daño en la planta por la plaga o enfermedad,Porcentaje del cultivo dañado,Número de productos aplicados,Id_AplicacionesDeInsumos,Secuencia del registro del Producto,Categoría_del_producto,Tipo de producto,Nombre_del_producto,Nombre del producto aplicado.. # solo si se requiere renombrar,Nitrógeno (N),Fósforo (P),Potasio (K),Otros nutrientes (Opcional),Ingrediente Activo,Cantidad,Unidad_ha,Lugar_de_aplicación,ID tipo de bitácora sección (clave foránea)
48538,RPARC-2025-0204-0507-PYYYG-N2ZOG,BITAG-2025-0204-0512-CGRKD-ZWFS6,AE,OAXACA,2024,Primavera_Verano,TEMPORAL,CULTV-2025-0204-0524-6XH4G-K9HNH,INNOVACION,INSUM-2025-0207-0952-EYFSQ-VI4U1,8/1/2024,DESARROLLO_DEL_CULTIVO,FERTILIZACION,SI,SI,,,NINGUNA,,NO,,,,,,,,,,,,,,1,INSUM-2025-0207-0952-EYFSQ-VI4U1,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,AMINOFUL,,,,,,NA,1,L_HA,FOLIAR,
51231,RPARC-2025-0204-0106-WW2YW-C6YIC,BITAG-2025-0204-0113-1YFHM-EEG8A,AE,OAXACA,2024,Primavera_Verano,TEMPORAL,CULTV-2025-0204-0117-CVKMC-TNI6F,INNOVACION,INSUM-2025-0207-0844-4QR4A-6TB7Q,7/18/2024,DESARROLLO_DEL_CULTIVO,FERTILIZACION,SI,,,,NINGUNA,,SI,,,,,,,,,,,,,,1,INSUM-2025-0207-0844-4QR4A-6TB7Q,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,AMINOFUL,,,,,,NA,1,L_HA,FOLIAR,
51172,RPARC-2024-0910-0740-XMSHI-HSYZN,BITAG-2024-0910-0754-ZNDCW-AUQ0G,MODULO,OAXACA,2024,Primavera_Verano,TEMPORAL,CULTV-2024-0910-0806-R23ZF-JXB3I,INNOVACION,INSUM-2025-0207-0759-JNLDA-HTUDL,7/21/2024,DESARROLLO_DEL_CULTIVO,FERTILIZACION,SI,,,,NINGUNA,,NO,,,,,,,,,,,,,,1,INSUM-2025-0207-0759-JNLDA-HTUDL,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,AMINOFUL,,,,,,"ACIDO ASPARTICO , ACIDO GLUTAMICO",1,L_HA,FOLIAR,
45010,RPARC-2024-1017-1055-HDCHO-OAAHU,BITAG-2024-1031-0736-QOIX6-0CQPX,AE,OAXACA,2024,Primavera_Verano,TEMPORAL,CULTV-2024-1031-0802-KNCB1-PIDWS,INNOVACION,INSUM-2025-0103-0551-4PZHF-S9SCC,12/30/2024,POSCOSECHA,TRATAMIENTO_DE_SEMILLA,NO,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2025-0103-0551-4PZHF-S9SCC,1,ADITIVO,OTRO,CAL MICRONIZADA,,,,,,HIDRÓXIDO DE CALCIO,4,KG_HA,EN LA SUPERFICIE,
45350,E15CF649-EE47-9CA9-0660-616CEC7598FC,BITAG-2023-1218-0729-M48NM-EOLEB,AE,JALISCO,2023,Primavera_Verano,TEMPORAL,CULTV-2023-1218-0730-PNOGH-IOG7Q,INNOVACION,INSUM-2024-0117-0818-BP3FA-CTXH1,5/26/2023,DESARROLLO_DEL_CULTIVO,CONTROL_DE_PLAGAS,SI,,,,,,,1,PREVENCION,GUSANO_COGOLLERO,,,MONITOREO,NO,,,,,,,1,INSUM-2024-0117-0818-BP3FA-CTXH1,1,ADITIVO,OTROS_COMPLEMENTOS_O_MEJORADORES,CONSORCIO MICROBIANO CASERO,,,,,NO,MICRORGASNISMOS,20,L_HA,FOLIAR,
47298,RPARC-2025-0206-1047-N2Q9L-70RMH,BITAG-2025-0206-1051-56IBO-BCCKJ,MODULO,OAXACA,2024,Primavera_Verano,TEMPORAL,CULTV-2025-0206-1054-UHVLD-CQYSL,INNOVACION,INSUM-2025-0207-0652-GMNFW-I1AAQ,10/21/2024,DESARROLLO_DEL_CULTIVO,"FERTILIZACION,CONTROL_DE_PLAGAS",SI,,,,NINGUNA,,NO,1,CONTROL,GUSANO_COGOLLERO,,,MONITOREO,NO,,,,,,,1,INSUM-2025-0207-0652-GMNFW-I1AAQ,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,FRUT-ON,,,,,,NA,1,L_HA,FOLIAR,
47298,RPARC-2025-0206-1047-N2Q9L-70RMH,BITAG-2025-0206-1051-56IBO-BCCKJ,MODULO,OAXACA,2024,Primavera_Verano,TEMPORAL,CULTV-2025-0206-1054-UHVLD-CQYSL,INNOVACION,INSUM-2025-0207-0709-5XRL5-0A4DN,9/1/2024,DESARROLLO_DEL_CULTIVO,FERTILIZACION,SI,,,,NINGUNA,,NO,,,,,,,,,,,,,,1,INSUM-2025-0207-0709-5XRL5-0A4DN,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,FRUT-ON,,,,,,NA,1,L_HA,FOLIAR,
10392,RPARC-2023-0607-0108-QXIYZ-OWQAR,BITAG-2023-0607-0110-9RS3F-JXQRW,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0607-0111-J2HYI-HMRBI,INNOVACION,INSUM-2023-0614-0437-FNK4S-KK1RN,12/5/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0614-0437-FNK4S-KK1RN,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
40479,RPARC-2023-0529-0829-3GHGJ-Q8MW6,BITAG-2023-0529-0830-LEKO8-UUJAU,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0529-0831-YUKP5-O221A,INNOVACION,INSUM-2023-0615-0137-SWCRB-GZDBU,12/5/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0615-0137-SWCRB-GZDBU,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
37422,RPARC-2023-0529-0736-OFPHR-XCPNS,BITAG-2023-0529-0737-D044C-CUP8X,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0529-0738-PNZQD-XTTRY,INNOVACION,INSUM-2023-0615-0128-SCJFQ-MG9WG,12/1/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0615-0128-SCJFQ-MG9WG,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
11944,RPARC-2023-0529-1200-NBBLX-DUEXY,BITAG-2023-0529-0643-UHW6H-GGDF6,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0529-0644-V9M0M-76MQY,INNOVACION,INSUM-2023-0615-0117-G6MR0-1YG2X,11/13/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0615-0117-G6MR0-1YG2X,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
11648,RPARC-2023-0511-1210-OOUBQ-KU5XG,BITAG-2023-0528-1057-X5MGI-02SCW,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0528-1101-MPSMI-KQCVC,INNOVACION,INSUM-2023-0615-0108-4PEMM-XAQEN,12/5/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0615-0108-4PEMM-XAQEN,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
43090,RPARC-2023-0526-1024-XGQYV-4W8ME,BITAG-2023-0526-1025-UNMYN-KQGZF,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0526-1027-FYMN0-JIL63,INNOVACION,INSUM-2023-0615-0101-I5CDQ-DGGA8,12/5/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0615-0101-I5CDQ-DGGA8,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
41956,RPARC-2023-0526-0946-U1HXX-YA0C2,BITAG-2023-0526-0947-QTHYG-KQLTB,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0526-0948-OOOQN-INUA2,INNOVACION,INSUM-2023-0615-1249-3NOHM-PKFJE,11/28/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0615-1249-3NOHM-PKFJE,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
18201,RPARC-2023-0518-0535-LENL7-5Q7SB,BITAG-2023-0518-0535-W0JWI-ABT2B,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0518-0537-BH67L-ASLYK,INNOVACION,INSUM-2023-0615-1238-EFZMJ-U9OJF,12/1/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0615-1238-EFZMJ-U9OJF,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
43601,RPARC-2023-0517-1140-EITQP-JEWDA,BITAG-2023-0517-1141-TTQRQ-31TNB,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0517-1145-QVEDJ-NPHQG,INNOVACION,INSUM-2023-0614-0827-BPLAN-LTI86,11/11/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0614-0827-BPLAN-LTI86,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
43601,RPARC-2023-0517-1100-NM7H0-LYMOE,BITAG-2023-0517-1102-XTHPA-DEDV7,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0517-1106-UGZFN-MINB5,INNOVACION,INSUM-2023-0614-0810-ALEVB-ONRSW,11/17/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0614-0810-ALEVB-ONRSW,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
31078,RPARC-2023-0515-0401-JRQSE-WTRZH,BITAG-2023-0515-0403-RFFR0-BNUK9,AE,SINALOA,2023,Otoño-Invierno,RIEGO,CULTV-2023-0515-0405-XYAHQ-A2RVZ,INNOVACION,INSUM-2023-0614-0515-7GBU9-FMZQE,12/12/2022,SIEMBRA,TRATAMIENTO_DE_SEMILLA,SI,,,NO,,,,,,,,,,,,,,,,,1,INSUM-2023-0614-0515-7GBU9-FMZQE,1,ADITIVO,BIOLOGICO_ETOLOGICO_ORGANICO,M-300 GLOMUS INTRARADICES,,,,,,MICORRIZAS,0.7,KG_HA,FOLIAR,
